Plot,Quadrant,ID,Type,Number,Species,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,Location_Name,Condition,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm,Subplot_ID,Notes,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
Plot-P02,Q3,T19,Tree,1,Hibiscus rosa-sinensis,52.5,17.5,,2.5,Eco-Park,Live,22.0,14.5,0.0,0.0,Live,59.3,,,16.71126902464901,5.570423008216337,,17.615224236570462,0.5,22.624185680353698,13.39804275990546,49.12615678632002,542.2056988223962,321.09421484262305,1177.3454544229512
Plot-P02,Q3,T20,Tree,1,Hibiscus rosa-sinensis,19.0,0.0,,1.5,Eco-Park,Live,0.0,0.0,0.0,0.0,Live,19.2,,,6.047887837492023,0.0,,6.047887837492023,0.5,1.7051607794895385,1.0097962136137046,3.7025861165835834,36.13599157943371,21.39973421334064,78.46569211558234
Plot-P02,Q3,T21,Tree,1,Hibiscus rosa-sinensis,51.5,21.5,,2.5,Eco-Park,Live,14.5,16.5,0.0,0.0,Live,57.1,,,16.39295913846522,6.8436625529515,,17.764144405348123,0.5,22.99903957744119,13.620031237760672,49.940114538455795,553.7436368768214,327.92698175845356,1202.3989331143298
Plot-P02,Q3,T22,Tree,1,Hibiscus rosa-sinensis,51.5,22.0,,2.5,Eco-Park,Live,16.5,15.0,0.0,0.0,Live,62.6,,,16.39295913846522,7.002817496043395,,17.826064125271227,0.5,23.155784735709283,13.712855720487036,50.28047097511913,558.5832939499493,330.7930266771599,1212.9077644829197
Plot-P02,Q4,T23,Tree,1,Caesalpinia pulcherrima,19.0,18.5,,4.0,Eco-Park,Live,24.0,0.0,0.0,0.0,Live,34.6,,,6.047887837492023,5.888732894400127,,8.441215694227582,0.6,10.172876957997785,6.024377734526288,22.08938502659639,70.90639971532171,41.990769911413516,153.96615634184954
Plot-P02,Q4,T24,Tree,1,Caesalpinia pulcherrima,41.0,0.0,,4.5,Eco-Park,Live,0.0,0.0,0.0,0.0,Live,41.2,,,13.05070533353542,0.0,,13.05070533353542,0.6,26.71428991794155,15.820202489404984,58.00740912781827,213.74257037464946,126.5783501758674,464.1206173115138
Plot-P02,Q4,T25,Tree,1,Caesalpinia pulcherrima,26.0,10.0,,2.5,Eco-Park,Live,15.5,0.0,0.0,0.0,Live,31.9,,,8.276057040778557,3.183098861837907,,8.867087374468243,0.6,7.078620369857632,4.19195898302969,15.370516271108864,80.36468672004791,47.59196747561237,174.50388074391202
Plot-P03,Q1,T26,Tree,1,Gliricidia sepium,56.5,33.0,,8.5,ARAI Hills I,Live,42.0,0.0,0.0,0.0,Live,76.7,,,17.984508569384175,10.504226244065093,,20.82741744597152,0.62,127.78461472137869,75.67404883800046,277.4715124060017,667.7188091324791,395.42307876825413,1449.8846221502652
Plot-P03,Q2,T27,Tree,1,Gliricidia sepium,45.5,0.0,,7.0,ARAI Hills I,Live,0.0,0.0,0.0,0.0,Live,45.6,,,14.483099821362476,0.0,,14.483099821362476,0.62,52.024358652047425,30.808825193742482,112.96569237705576,269.0277230310506,159.31821757898814,584.1667977896232
Plot-P03,Q2,T28,Tree,1,Boswellia serrata,79.0,0.0,,10.0,ARAI Hills I,Live,0.0,0.0,0.0,0.0,"Leaf fall initiating, canopy thinning",79.2,,,25.146481008519466,0.0,,25.146481008519466,0.62,216.3320590281787,128.1118453564874,469.74343297378715,1066.683699377793,631.690086771529,2316.1969848289395
